abc,B,C,D,E,F
privacy,0.618,0.304,0.288,0.316,0.23199999999999998
chance,0.5940000000000001,0.304,0.33199999999999996,0.45,0.27799999999999997
not,0,0,0,0,0
broken too slow too,0.20400000000000001,0.42160000000000003,0.4364,0.34240000000000004,0.281
not,0,0,0,0,0
not slow,0.7,0.558,0.6220000000000001,0.662,0.63
save,0.706,0.246,0.266,0.296,0.20600000000000002
arm,0.366,0.246,0.21800000000000003,0.23399999999999999,0.22599999999999998
market,0.426,0.288,0.27799999999999997,0.296,0.27799999999999997
not,0,0,0,0,0
